City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Puerto Narino,CO,82.4,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
248,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
251,Katobu,ID,76.46,overcast clouds,-4.9408,122.5276,La Ode Husein
258,Piacabucu,BR,81.79,clear sky,-10.4056,-36.4344,Piaçabuçu News
261,Bariri,BR,89.6,scattered clouds,-22.0744,-48.7403,San Francisco Hotel
267,Rocha,UY,75.65,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
273,Trelew,AR,87.17,broken clouds,-43.249,-65.3051,Hotel Touring Club
277,Wajid,SO,78.03,clear sky,3.8093,43.2471,xamdihotelresturant114
279,Honiara,SB,78.94,broken clouds,-9.4333,159.95,Heritage Park Hotel
284,Carira,BR,86.58,overcast clouds,-10.3608,-37.7011,Praca dos motorista
286,Alyangula,AU,78.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
288,Pangai,TO,80.28,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
289,Le Port,RE,75.2,clear sky,-20.9373,55.2919,Villa Maido
291,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
295,Kloulklubed,PW,75.2,light rain,7.0419,134.2556,Storyboard Beach Resort
301,Huarmey,PE,75.74,few clouds,-10.0681,-78.1522,Hotel Miramar
304,Alta Floresta,BR,87.75,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
305,Gurupi,BR,84.94,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
306,Biak,ID,76.77,few clouds,-0.9131,122.8766,Penginapan Kim
307,Ixtapa,MX,75.2,light rain,20.7,-105.2,Container Inn Puerto Vallarta
310,Roebourne,AU,90.99,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
315,Karratha,AU,90.37,few clouds,-20.7377,116.8463,ibis Styles Karratha
317,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
318,Luwuk,ID,77.65,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
322,San Policarpo,PH,80.06,heavy intensity rain,12.1791,125.5072,JM Lodge
324,Namatanai,PG,79.03,overcast clouds,-3.6667,152.4333,Namatanai Hotel
329,Cockburn Town,TC,80.6,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Sao Jose Da Coroa Grande,BR,80.22,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
331,Samarai,PG,82.27,light rain,-10.6167,150.6667,Nuli Sapi
332,Kavieng,PG,81.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
333,East London,ZA,77.25,light rain,-33.0153,27.9116,Tu Casa
346,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
347,Buin,CL,84.0,broken clouds,-33.7333,-70.75,Paihuen
349,Rafai,CF,75.25,broken clouds,4.95,23.9167,
350,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
351,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
352,Champoton,MX,75.2,scattered clouds,19.35,-90.7167,HOTEL Posada La Regia
354,Posse,BR,84.02,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
357,Cartagena,CO,80.6,light rain,10.3997,-75.5144,Costa Del Sol
367,Nosy Varika,MG,76.21,light rain,-20.5833,48.5333,Hotel Volazara
374,Morondava,MG,81.99,light rain,-20.2833,44.2833,La Case Bambou
375,Bongandanga,CD,76.51,broken clouds,1.5,21.05,
380,Mineiros,BR,80.94,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
