City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Poum,NC,2020-12-27 17:39:35,-20.23,164.02,78.3,78,79,17.05
122,Jamestown,US,2020-12-27 17:36:20,42.1,-79.24,30.99,79,1,10.6
123,Isiolo,KE,2020-12-27 17:39:35,0.35,37.58,65.05,56,71,2.64
124,Warkworth,NZ,2020-12-27 17:39:35,-36.4,174.67,53.01,81,2,1.99
125,Nouadhibou,MR,2020-12-27 17:37:05,20.93,-17.03,68.0,77,0,12.75
126,Sirjan,IR,2020-12-27 17:39:36,29.45,55.68,37.56,63,40,5.57
127,Thompson,CA,2020-12-27 17:31:55,55.74,-97.86,-20.2,75,40,11.41
128,Kavieng,PG,2020-12-27 17:38:20,-2.57,150.8,83.21,68,53,9.31
129,Albany,US,2020-12-27 17:36:47,42.6,-73.97,36.0,63,1,2.15
130,Paka,MY,2020-12-27 17:39:37,4.64,103.44,77.0,100,91,4.05
131,Tasiilaq,GL,2020-12-27 17:37:13,65.61,-37.64,26.6,42,98,1.12
132,Gamba,GA,2020-12-27 17:39:01,-2.65,10.0,77.99,89,54,6.33
133,Tecolutla,MX,2020-12-27 17:39:38,20.48,-97.02,68.0,72,5,4.7
134,Tiarei,PF,2020-12-27 17:39:38,-17.53,-149.33,82.4,69,20,3.36
135,Ancud,CL,2020-12-27 17:37:33,-41.87,-73.82,69.01,82,75,9.17
136,Pacific Grove,US,2020-12-27 17:36:39,36.62,-121.92,52.0,76,40,3.67
137,Avarua,CK,2020-12-27 17:36:45,-21.21,-159.78,75.2,94,66,3.36
138,Olonets,RU,2020-12-27 17:39:39,60.98,32.97,12.43,96,98,7.99
139,Acarau,BR,2020-12-27 17:39:07,-2.89,-40.12,86.58,58,73,22.75
140,Litovko,RU,2020-12-27 17:39:39,49.24,135.17,-6.66,67,0,10.29
141,Carlton,US,2020-12-27 17:39:39,45.29,-123.18,42.8,93,90,3.36
142,Kropotkin,RU,2020-12-27 17:39:40,45.44,40.58,35.22,93,99,10.0
143,Cherskiy,RU,2020-12-27 17:37:05,68.75,161.3,-32.75,84,23,1.21
144,Tuatapere,NZ,2020-12-27 17:37:27,-46.13,167.68,44.01,88,0,3.0
145,Zhuhai,CN,2020-12-27 17:38:08,22.28,113.57,68.0,88,0,6.22
146,Tiksi,RU,2020-12-27 17:37:00,71.69,128.87,1.67,91,100,16.24
147,Clyde River,CA,2020-12-27 17:37:04,70.47,-68.59,-13.0,83,100,18.34
148,Coquimbo,CL,2020-12-27 17:38:38,-29.95,-71.34,68.0,64,0,13.87
149,Tuxpan,MX,2020-12-27 17:39:41,19.55,-103.4,78.8,36,5,2.24
150,Bethel,US,2020-12-27 17:33:31,41.37,-73.41,34.0,50,1,6.93
151,Waw,SS,2020-12-27 17:39:42,7.7,28.0,83.71,27,44,4.16
152,San Andres,CO,2020-12-27 17:39:42,12.58,-81.7,77.0,88,90,11.41
153,Nantucket,US,2020-12-27 17:39:42,41.28,-70.1,39.2,44,1,6.93
154,Kavaratti,IN,2020-12-27 17:36:39,10.57,72.64,81.84,68,5,7.92
155,Bengkulu,ID,2020-12-27 17:38:21,-3.8,102.27,76.14,86,100,4.54
156,San Quintin,MX,2020-12-27 17:37:29,30.48,-115.95,62.26,71,2,13.85
157,Richards Bay,ZA,2020-12-27 17:39:43,-28.78,32.04,76.98,86,82,16.4
158,The Valley,AI,2020-12-27 17:39:43,18.22,-63.06,84.2,78,20,9.17
159,Hilo,US,2020-12-27 17:36:46,19.73,-155.09,66.99,68,1,5.82
