City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Zaltan,LY,32.947,11.8665,74.73,28,8,14.7,clear sky
156,Gazli,UZ,40.1333,63.45,28.42,83,0,8.79,clear sky
157,Amambai,BR,-23.1042,-55.2258,83.53,66,2,4.92,clear sky
158,Puerto Ayora,EC,-0.7393,-90.3518,84.2,58,0,14.97,clear sky
159,Fairbanks,US,64.8378,-147.7164,12.0,78,75,3.51,broken clouds
160,Dingtao,CN,35.0683,115.5625,25.47,71,100,4.76,overcast clouds
161,Ati,TD,13.2154,18.3353,76.3,18,1,10.85,clear sky
162,Nanortalik,GL,60.1432,-45.2371,31.14,93,99,7.99,overcast clouds
163,Changping,CN,40.2186,116.2197,25.0,33,0,8.95,clear sky
164,Inverell,AU,-29.7833,151.1167,57.99,95,0,1.01,clear sky
165,Santiago,CL,-33.4569,-70.6483,84.0,31,75,5.75,broken clouds
166,Manica,FR,49.0,-1.1667,33.8,80,0,3.44,clear sky
167,Farafangana,MG,-22.8167,47.8333,76.84,85,51,7.63,light rain
168,Urla,TR,38.3229,26.764,66.2,94,40,4.61,scattered clouds
169,Kita,ML,13.0349,-9.4895,82.33,15,0,2.3,clear sky
170,Mount Isa,AU,-20.7333,139.5,78.8,61,0,6.91,clear sky
171,Hilo,US,19.7297,-155.09,73.4,73,90,4.61,overcast clouds
172,Manono,CD,-7.3,27.4167,69.17,94,100,1.19,light rain
173,Mogadishu,SO,2.0371,45.3438,76.55,77,3,24.54,clear sky
174,Aykhal,RU,66.0,111.5,-29.88,82,91,7.02,overcast clouds
175,Pacifica,US,37.6138,-122.4869,59.0,47,1,12.66,clear sky
176,Matamoros,MX,25.5333,-103.25,66.2,24,1,3.04,clear sky
177,Goderich,CA,43.7501,-81.7165,33.8,64,100,4.61,overcast clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,77.0,61,0,16.11,light rain
179,Carlsbad,US,33.1581,-117.3506,71.01,37,1,1.63,clear sky
180,Odweyne,SO,9.4092,45.064,63.25,55,0,10.8,clear sky
181,Savannah Bight,HN,16.45,-85.85,75.99,94,90,6.91,moderate rain
182,Bantou,CN,26.2151,117.4893,31.68,79,99,2.33,overcast clouds
183,Nome,US,64.5011,-165.4064,-0.4,65,90,12.66,overcast clouds
184,Mamallapuram,IN,12.6264,80.1722,78.8,94,40,2.3,mist
185,Alofi,NU,-19.0595,-169.9187,82.4,74,31,12.66,scattered clouds
186,Tiksi,RU,71.6872,128.8694,-16.4,89,100,9.06,overcast clouds
187,Nyagan,RU,62.1406,65.3936,-13.36,89,91,3.91,overcast clouds
188,Sistranda,NO,63.7256,8.834,32.0,86,0,27.63,snow
189,Traun,AT,48.2266,14.2346,28.99,93,75,1.14,broken clouds
190,Kainantu,PG,-6.2887,145.8655,59.27,93,100,2.21,overcast clouds
191,Kabalo,CD,-6.05,26.9167,69.06,92,99,1.61,overcast clouds
192,Egvekinot,RU,66.3167,-179.1667,-20.07,87,72,10.25,broken clouds
193,Padang,ID,-0.9492,100.3543,75.2,94,75,3.44,broken clouds
194,Peniche,PT,39.3558,-9.3811,44.01,60,100,5.01,overcast clouds
195,Sonegaon,IN,20.65,78.6833,71.6,73,40,2.21,haze
196,Cidreira,BR,-30.1811,-50.2056,80.22,73,0,13.09,clear sky
197,Burnie,AU,-41.0667,145.9167,55.99,69,87,5.01,overcast clouds
